Starting heating control with interval 5s
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
Price: 96, Decision: ES8
2025-03-14 21:13:34,808 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:13:39,814 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:44,820 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:49,826 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:13:54,832 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:13:59,836 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:14:04,842 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:14:09,848 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:14:14,849 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 67.3
2025-03-14 21:14:19,855 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:14:24,858 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:14:29,864 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:14:34,870 - Price: 58, Decision: ES2, Solar: -5.0, Tank Temp: 68.3
2025-03-14 21:14:39,876 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:14:44,882 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:14:49,888 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:14:54,894 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:14:59,899 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:15:04,906 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:15:09,908 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:15:20,442 - Starting heating control with interval 5s
2025-03-14 21:15:20,464 - Price: 58, Decision: ES2, Solar: 0, Tank Temp: 0
2025-03-14 21:15:20,464 - Connected to MQTT broker with code 0
2025-03-14 21:15:25,468 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:15:30,469 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:15:35,476 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:15:40,482 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:15:45,489 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:15:50,495 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:15:55,502 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:00,508 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:05,515 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:10,520 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:21,205 - Starting heating control with interval 5s
2025-03-14 21:16:21,232 - Price: 58, Decision: ES2, Solar: 0, Tank Temp: 0
2025-03-14 21:16:21,232 - Connected to MQTT broker with code 0
2025-03-14 21:16:26,238 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:31,244 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:36,250 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:16:41,254 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:16:46,260 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:16:51,266 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:16:56,272 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:01,280 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:06,288 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:11,293 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:17:16,299 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:21,305 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:26,311 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:17:31,317 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:17:36,321 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:41,328 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:46,330 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:17:51,336 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:17:56,342 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 68.3
2025-03-14 21:18:01,349 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:18:06,356 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:18:11,364 - Price: 58, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 21:38:08,786 - Starting heating control with interval 3600s
2025-03-14 21:38:08,819 - Sleeping 1312s until 2025-03-14 22:00:01
2025-03-14 21:38:08,820 - Connected to MQTT broker with code 0
2025-03-14 21:40:15,734 - Starting heating control with interval 3600s
2025-03-14 21:40:15,760 - Sleeping 1185s until 2025-03-14 22:00:01
2025-03-14 21:40:15,760 - Connected to MQTT broker with code 0
2025-03-14 21:41:44,214 - Starting heating control with interval 3600s
2025-03-14 21:41:44,236 - Sleeping 1097s until 2025-03-14 22:00:01
2025-03-14 21:41:44,236 - Connected to MQTT broker with code 0
2025-03-14 21:43:46,972 - Starting heating control with interval 3600s
2025-03-14 21:43:46,988 - Sleeping 974s until 2025-03-14 22:00:01
2025-03-14 21:43:46,988 - Connected to MQTT broker with code 0
2025-03-14 22:00:01,079 - Price: 61, Decision: ES7, Solar: 0.0, Tank Temp: 67.3
2025-03-14 22:00:01,080 - Cycle complete, sleeping until next hour
2025-03-14 22:00:01,080 - Sleeping 3600s until 2025-03-14 23:00:01
2025-03-14 23:00:01,100 - Price: 53, Decision: ES2, Solar: 0.0, Tank Temp: 67.3
2025-03-14 23:00:01,101 - Cycle complete, sleeping until next hour
2025-03-14 23:00:01,101 - Sleeping 3600s until 2025-03-15 00:00:01
2025-03-15 00:00:01,066 - Price: 59, Decision: ES2, Solar: 0.0, Tank Temp: 66.3
2025-03-15 00:00:01,066 - Cycle complete, sleeping until next hour
2025-03-15 00:00:01,066 - Sleeping 3600s until 2025-03-15 01:00:01
2025-03-15 01:00:01,054 - Price: 51, Decision: ES2, Solar: 0.0, Tank Temp: 66.3
2025-03-15 01:00:01,055 - Cycle complete, sleeping until next hour
2025-03-15 01:00:01,055 - Sleeping 3600s until 2025-03-15 02:00:01
2025-03-15 02:00:01,032 - Price: 44, Decision: ES2, Solar: 0.0, Tank Temp: 66.3
2025-03-15 02:00:01,032 - Cycle complete, sleeping until next hour
2025-03-15 02:00:01,032 - Sleeping 3600s until 2025-03-15 03:00:01
2025-03-15 03:00:01,101 - Price: 38, Decision: ES3, Solar: -4.0, Tank Temp: 65.4
2025-03-15 03:00:01,102 - Cycle complete, sleeping until next hour
2025-03-15 03:00:01,102 - Sleeping 3600s until 2025-03-15 04:00:01
2025-03-15 04:00:01,078 - Price: 36, Decision: ES3, Solar: -12.0, Tank Temp: 65.4
2025-03-15 04:00:01,078 - Cycle complete, sleeping until next hour
2025-03-15 04:00:01,079 - Sleeping 3600s until 2025-03-15 05:00:01
2025-03-15 05:00:01,080 - Price: 39, Decision: ES3, Solar: 0.0, Tank Temp: 64.4
2025-03-15 05:00:01,080 - Cycle complete, sleeping until next hour
2025-03-15 05:00:01,080 - Sleeping 3600s until 2025-03-15 06:00:01
2025-03-15 06:00:01,093 - Price: 45, Decision: ES2, Solar: -4.0, Tank Temp: 64.4
2025-03-15 06:00:01,093 - Cycle complete, sleeping until next hour
2025-03-15 06:00:01,094 - Sleeping 3600s until 2025-03-15 07:00:01
2025-03-15 07:00:01,080 - Price: 47, Decision: ES2, Solar: -5.0, Tank Temp: 64.4
2025-03-15 07:00:01,080 - Cycle complete, sleeping until next hour
2025-03-15 07:00:01,080 - Sleeping 3600s until 2025-03-15 08:00:01
2025-03-15 08:00:01,090 - Price: 47, Decision: ES2, Solar: 468.0, Tank Temp: 63.6
2025-03-15 08:00:01,090 - Cycle complete, sleeping until next hour
2025-03-15 08:00:01,090 - Sleeping 3600s until 2025-03-15 09:00:01
2025-03-15 09:00:01,036 - Price: 35, Decision: ES3, Solar: 1394.0, Tank Temp: 63.6
2025-03-15 09:00:01,037 - Cycle complete, sleeping until next hour
2025-03-15 09:00:01,037 - Sleeping 3600s until 2025-03-15 10:00:01
2025-03-15 10:00:01,076 - Price: 22, Decision: ES3, Solar: 3336.0, Tank Temp: 62.7
2025-03-15 10:00:01,076 - Cycle complete, sleeping until next hour
2025-03-15 10:00:01,077 - Sleeping 3600s until 2025-03-15 11:00:01
2025-03-15 11:00:01,052 - Price: 17, Decision: ES6, Solar: 1891.0, Tank Temp: 65.4
2025-03-15 11:00:01,055 - Cycle complete, sleeping until next hour
2025-03-15 11:00:01,055 - Sleeping 3600s until 2025-03-15 12:00:01
2025-03-15 12:00:01,100 - Price: 8, Decision: ES6, Solar: 4204.0, Tank Temp: 67.3
2025-03-15 12:00:01,101 - Cycle complete, sleeping until next hour
2025-03-15 12:00:01,101 - Sleeping 3600s until 2025-03-15 13:00:01
